name;valid_nodes;invalid_nodes;valid_submissions;invalid_submissions
TrashRL-inv9Ok;20;80;138;116
TrashRL-inv8Ok;13;6;159;14
TrashRL-inv7Ok;25;108;135;268
TrashRL-inv6Ok;12;78;172;192
TrashRL-inv5Ok;10;75;155;193
TrashRL-inv4Ok;16;30;163;88
TrashRL-inv3Ok;8;24;158;53
TrashRL-inv2Ok;10;23;164;79
TrashRL-inv1Ok;19;20;271;267
TrashLTL-prop9Ok;6;45;88;90
TrashLTL-prop8Ok;4;130;56;283
TrashLTL-prop7Ok;5;23;96;54
TrashLTL-prop6Ok;13;130;118;271
TrashLTL-prop5Ok;8;172;64;364
TrashLTL-prop4Ok;4;52;107;128
TrashLTL-prop3Ok;2;5;99;12
TrashLTL-prop2Ok;4;56;82;146
TrashLTL-prop1Ok;15;17;125;41
TrashLTL-prop19Ok;2;42;44;65
TrashLTL-prop18Ok;4;121;45;197
TrashLTL-prop17Ok;10;87;47;102
TrashLTL-prop16Ok;5;60;50;96
TrashLTL-prop15Ok;2;23;49;53
TrashLTL-prop14Ok;13;69;66;96
TrashLTL-prop13Ok;14;34;81;40
TrashLTL-prop12Ok;6;232;36;379
TrashLTL-prop11Ok;8;85;81;134
TrashLTL-prop10Ok;2;103;53;299
TrashFOL-inv9Ok;28;29;157;41
TrashFOL-inv8Ok;16;7;180;21
TrashFOL-inv7Ok;16;77;165;235
TrashFOL-inv6Ok;9;68;178;138
TrashFOL-inv5Ok;13;37;175;90
TrashFOL-inv4Ok;13;22;186;58
TrashFOL-inv3Ok;4;8;173;16
TrashFOL-inv2Ok;7;13;193;27
TrashFOL-inv1Ok;14;26;336;100
Train-inv9;25;349;138;551
Train-inv8;19;159;170;412
Train-inv7;13;122;162;177
Train-inv6;22;120;221;231
Train-inv5;28;391;158;650
Train-inv4;38;177;203;321
Train-inv3;31;440;254;1161
Train-inv2;20;103;314;190
Train-inv10;27;146;157;241
Train-inv1;18;217;280;407
SocialNetwork-inv8;109;317;486;452
SocialNetwork-inv7;63;1256;407;2668
SocialNetwork-inv6;45;253;552;409
SocialNetwork-inv5;52;429;605;1485
SocialNetwork-inv4;99;437;709;869
SocialNetwork-inv3;158;989;887;1599
SocialNetwork-inv2;50;129;1071;356
SocialNetwork-inv1;48;333;1250;1132
ProductionLine_v2_v3-inv9;67;716;192;943
ProductionLine_v2_v3-inv8;72;100;269;141
ProductionLine_v2_v3-inv7;39;125;267;314
ProductionLine_v2_v3-inv6;19;163;261;430
ProductionLine_v2_v3-inv5;76;156;297;225
ProductionLine_v2_v3-inv4;50;173;318;275
ProductionLine_v2_v3-inv3;16;48;259;97
ProductionLine_v2_v3-inv2;51;301;305;521
ProductionLine_v2_v3-inv10;32;211;88;316
ProductionLine_v2_v3-inv1;32;59;394;126
ProductionLine_v1-Inv4OK;19;89;42;133
ProductionLine_v1-Inv3OK;15;26;63;33
ProductionLine_v1-Inv2OK;7;49;60;102
ProductionLine_v1-Inv1OK;7;22;76;95
LTS-inv6Ok;18;23;77;37
LTS-inv5Ok;13;133;59;213
LTS-inv4Ok;18;277;69;507
LTS-inv3Ok;7;122;112;274
LTS-inv2Ok;7;28;124;46
LTS-inv1Ok;11;40;149;149
Graphs-weaklyConnected;15;232;80;466
Graphs-undirected;27;120;218;283
Graphs-stonglyConnected;16;61;97;128
Graphs-oriented;24;70;148;133
Graphs-noLoops;15;44;127;98
Graphs-complete;18;85;136;178
Graphs-acyclic;15;62;140;105
Courses-inv9;85;856;284;1519
Courses-inv8;64;214;487;432
Courses-inv7;76;445;446;760
Courses-inv6;85;340;549;570
Courses-inv5;155;665;600;1165
Courses-inv4;31;174;597;490
Courses-inv3;45;231;618;413
Courses-inv2;54;70;592;123
Courses-inv15;55;140;121;202
Courses-inv14;65;244;254;387
Courses-inv13;47;243;190;423
Courses-inv12;60;244;362;470
Courses-inv11;62;127;319;169
Courses-inv10;42;184;353;282
Courses-inv1;63;407;812;742
ClassroomRL-inv9OK;19;113;113;261
ClassroomRL-inv8OK;13;56;132;99
ClassroomRL-inv7OK;18;66;131;162
ClassroomRL-inv6OK;13;57;143;113
ClassroomRL-inv5OK;12;82;132;184
ClassroomRL-inv4OK;15;72;149;144
ClassroomRL-inv3OK;19;33;142;62
ClassroomRL-inv2OK;7;7;137;24
ClassroomRL-inv1OK;8;10;215;132
ClassroomRL-inv14OK;10;165;39;255
ClassroomRL-inv13OK;21;70;93;99
ClassroomRL-inv12OK;13;98;69;151
ClassroomRL-inv11OK;22;191;83;306
ClassroomRL-inv10OK;11;123;115;248
ClassroomFOL-inv9OK;10;64;128;111
ClassroomFOL-inv8OK;9;64;141;107
ClassroomFOL-inv7OK;11;19;127;41
ClassroomFOL-inv6OK;9;20;136;37
ClassroomFOL-inv5OK;8;75;143;137
ClassroomFOL-inv4OK;14;40;151;119
ClassroomFOL-inv3OK;22;24;181;67
ClassroomFOL-inv2OK;10;4;157;7
ClassroomFOL-inv1OK;5;12;212;41
ClassroomFOL-inv14OK;10;252;63;520
ClassroomFOL-inv13OK;3;78;103;129
ClassroomFOL-inv12OK;3;165;66;381
ClassroomFOL-inv11OK;9;235;85;552
ClassroomFOL-inv10OK;3;30;147;43
CV-Inv4OK;1;197;1;314
CV-Inv3OK;6;109;26;172
CV-Inv2OK;16;63;52;98
CV-Inv1OK;7;42;77;118
