formula;predicate;hint;nextFormula;normalizedFormula;MAX-FREQ;COMPxPOPULARITY;TEDxPOPULARITY;BALANCED-TEDCOMP;MINMAX-TED;MIN-COMPLEXITY;MIN-TED;TEDxArrival;BALANCED-TEDCOMPxPOPULARITY;MIN-ONE;MINMAX-COMP;MAXIMIN-FREQ;Arrival;POPULARITY;BALANCED-TEDCOMPxArrival;COMPxArrival
all p: Photo |some u: User | u -> p in posts;inv1;One step away from the solution! Instead of using existential quantifier ('some') to specify that some elements in a set satisfy a condition, try using unique quantifier ('one') to specify that there is exactly one element in a set.;(all ref0:(one Photo)|(one ref1:(one User)|((ref1 -> ref0) in (User <: posts))));(all ref0:(one Photo)|(some ref1:(one User)|((ref1 -> ref0) in (User <: posts))));True;True;True;True;True;True;True;True;True;True;True;;;;;
all p: Photo | p in User . posts;inv1;Keep going! Instead of using var0, try using true to help satisfy the required property.;;(all ref0:(one Photo)|(ref0 in (User . (User <: posts))));True;;;;;;;;;;;True;;;;
all p: Photo, u: User | p in u . posts;inv1;Keep going! It seems like the inclusion operator ('in') is not in the right place. Try moving it to the inside of the universal quantifier ('all') expression. Try moving it so that you correctly ensure the required property.;(all ref0:(one Photo)|(ref0 in (User . (User <: posts))));(all ref0:(one Photo),ref1:(one User)|(ref0 in (ref1 . (User <: posts))));True;;;;;;;;;;;;;;;
all i: Influencer, u: User | i in u . follows;inv5;Near a solution! Instead of using variable of type Influencer, try using variable of type User to help satisfy the required property.;(all ref0:(one Influencer),ref1:(one User)|(ref1 in ((User <: follows) . ref0)));(all ref0:(one Influencer),ref1:(one User)|(ref0 in (ref1 . (User <: follows))));True;;;;;;;;;;;;;;;
all u: User | Influencer in u . follows;inv5;Near a solution! Consider adding a difference operator ('-') to remove elements from a set. Think about how you can incorporate this within the inclusion operator ('in') expression.;(all ref0:(one User)|((Influencer - ref0) in (ref0 . (User <: follows))));(all ref0:(one User)|(Influencer in (ref0 . (User <: follows))));True;True;True;True;True;True;;True;True;True;True;True;True;True;;
all u: User | u . follows in Influencer;inv5;"Keep going! You can use variables to help specify the condition. Consider introducing a new variable of type ""Influencer"" to your expression using the universal quantifier ('all').";(all ref0:(one Influencer),ref1:(one User)|((ref0 != ref1) => (ref1 in ((User <: follows) . ref0))));(all ref0:(one User)|((ref0 . (User <: follows)) in Influencer));True;;;True;;True;;;;True;True;True;;True;True;True
all p: Photo | p in User . posts;inv1;Keep going! It seems like the inclusion operator ('in') is not in the right place.  Try moving it so that you correctly ensure the required property.;(Photo in (User . (User <: posts)));(all ref0:(one Photo)|(ref0 in (User . (User <: posts))));;True;True;;;;;;True;;;;;;;
all p: Photo, u: User | p in u . posts;inv1;One step away from the solution! Instead of using universal quantifier ('all') to specify that all elements in a set satisfy a condition, try using unique quantifier ('one') to specify that there is exactly one element in a set.;(all ref0:(one Photo)|(one ref1:(one User)|(ref0 in (ref1 . (User <: posts)))));(all ref0:(one Photo),ref1:(one User)|(ref0 in (ref1 . (User <: posts))));;True;True;;True;True;True;True;True;;True;;;;;
all i: Influencer, u: User | i in u . follows;inv5;Near a solution! Consider adding a difference operator ('-') to remove elements from a set. Think about how you can incorporate this within the one of expression.;(all ref0:(one Influencer),ref1:(one (User - ref0))|(ref0 in (ref1 . (User <: follows))));(all ref0:(one Influencer),ref1:(one User)|(ref0 in (ref1 . (User <: follows))));;True;True;;True;;True;;True;;;;;;;
all u: User | u . follows in Influencer;inv5;Near a solution! Consider adding a signature of type Influencer to help satisfy the required property. Think about how you can incorporate this within the inclusion operator ('in') expression.;(all ref0:(one User)|(Influencer in (ref0 . (User <: follows))));(all ref0:(one User)|((ref0 . (User <: follows)) in Influencer));;True;True;;True;;True;True;True;;;;True;;;
