;predicate;formula;frequency;closest_solution;solution_distance
0;this/Inv1;;55;((User <: visible) in (User <: profile));4
1;this/Inv2;;54;((((User <: profile) . (Work <: source)) :> User) in iden);8
2;this/Inv3;;40;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));16
3;this/Inv4;;31;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));18
4;this/Inv1;((User . (User <: visible)) in (User . (User <: profile)));15;((User <: visible) in (User <: profile));4
5;this/Inv4;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => (lone ((ref0 . (User <: visible)) & ref1))));13;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));27
6;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 = ref2) && (ref1 in (ref0 . (User <: visible)))) => (ref2 !in (ref0 . (User <: visible)))));8;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));25
7;this/Inv4;(((~ ((User <: visible) . (Work <: ids))) . ((User <: visible) . (Work <: ids))) in iden);7;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));21
8;this/Inv3;((((User <: profile) . (Work <: ids)) . (~ ((User <: profile) . (Work <: ids)))) in iden);6;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));17
9;this/Inv2;(all ref0:(one User)|((Work . (ref0 <: (User <: profile))) in (((Work <: source) . ref0) + ((Work <: source) . Institution))));6;(all ref0:(one User)|((ref0 . (User <: profile)) in (((Work <: source) . ref0) + ((Work <: source) . Institution))));4
