predicate;formula;frequency;closest_solution;solution_distance
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group)|((ref1 -> (ref0 -> ref2)) in (Class <: Groups))));34;(all ref0:(one Teacher)|(some ((ref0 . (Person <: Teaches)) . (Class <: Groups))));13
this/inv4;(all ref0:(one Person)|((ref0 !in Student) && (ref0 !in Teacher)));32;(no ref0:(one Person)|((ref0 !in Student) && (ref0 !in Teacher)));2
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Student)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches))))));29;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref0 -> ref2)) in (Class <: Groups)))));26;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Person)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));9
this/inv14;(all ref0:(one Class),ref1:(one Group),ref2:(one Student),ref3:(one Teacher)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));23;(all ref0:(one Class),ref1:(one Group),ref2:(one Person),ref3:(one Person)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));8
this/inv3;(all ref0:(one Person)|((ref0 in Student) || (ref0 in Teacher)));18;(no ref0:(one Person)|((ref0 in Student) && (ref0 in Teacher)));4
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Student),ref3:(one Teacher)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => ((ref3 -> ref0) in (Person <: Teaches)))));18;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
this/inv14;(all ref0:(one Class),ref1:(one Student),ref2:(one Teacher)|(((some ref3:(one Group)|((ref0 -> (ref1 -> ref3)) in (Class <: Groups))) && ((ref2 -> ref0) in (Person <: Teaches))) => ((ref2 -> ref1) in (Person <: Tutors))));18;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|(((some ref3:(one Group)|((ref0 -> (ref1 -> ref3)) in (Class <: Groups))) && ((ref2 -> ref0) in (Person <: Teaches))) => ((ref2 -> ref1) in (Person <: Tutors))));8
this/inv12;(all ref0:(one Class),ref1:(one Teacher)|(some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))));17;(all ref0:(one Teacher)|(some ((ref0 . (Person <: Teaches)) . (Class <: Groups))));13
this/inv14;(all ref0:(one Class),ref1:(one Group),ref2:(one Student)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (some ref3:(one Teacher)|(((ref3 -> ref0) in (Person <: Teaches)) && ((ref3 -> ref2) in (Person <: Tutors))))));16;(all ref0:(one Class),ref1:(one Group),ref2:(one Person),ref3:(one Person)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref2) in (Person <: Tutors)))));10
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Person),ref3:(one Teacher)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => ((ref3 -> ref0) in (Person <: Teaches)))));16;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
this/inv11;(all ref0:(one Class),ref1:(one Group),ref2:(one Student)|(some ref3:(one Teacher)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => ((ref3 -> ref0) in (Person <: Teaches)))));16;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Person)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches))))));15;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
this/inv11;(all ref0:(one Class),ref1:(one Group),ref2:(one Student)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));15;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
