;predicate;formula;frequency;closest_solution;solution_distance
0;this/inv4;;113;((Person - Student) in Teacher);6
1;this/inv2;;112;(no Teacher);3
2;this/inv3;;111;(no (Student & Teacher));5
3;this/inv5;;105;(some (Teacher <: (Person <: Teaches)));5
4;this/inv7;;92;(Class in (Teacher . (Person <: Teaches)));6
5;this/inv6;;92;(all ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));6
6;this/inv9;;88;(all ref0:(one Class)|(lone (((Person <: Teaches) . ref0) & Teacher)));8
7;this/inv10;;87;((Class -> Student) in ((Class <: Groups) . Group));8
8;this/inv11;;64;(no ((Class - (Teacher . (Person <: Teaches))) . (Class <: Groups)));9
9;this/inv12;;62;(all ref0:(one Teacher)|(some ref1:(one (ref0 . (Person <: Teaches)))|(some (ref1 . (Class <: Groups)))));7
10;this/inv13;;60;((Person <: Tutors) in (Teacher -> Student));6
11;this/inv9;(all ref0:(one Class)|(lone ((Person <: Teaches) . ref0)));52;(all ref0:(one Class)|(lone (((Person <: Teaches) . ref0) & Teacher)));4
12;this/inv14;;42;(all ref0:(one Class)|(((((Person <: Teaches) . ref0) & Teacher) -> (((ref0 . (Class <: Groups)) . Group) & Student)) in (Person <: Tutors)));17
13;this/inv7;(all ref0:(one Class)|(some ((Person <: Teaches) . ref0)));39;(all ref0:(one Class)|(some (((Person <: Teaches) . ref0) :> Teacher)));4
14;this/inv5;(all ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));31;(some ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));2
15;this/inv10;(all ref0:(one Class),ref1:(one Student)|(some ((ref0 . (Class <: Groups)) . ref1)));19;(all ref0:(one Class),ref1:(one Student)|(some (ref1 . (ref0 . (Class <: Groups)))));6
16;this/inv4;(no (Student + Teacher));18;(no (Person - (Student + Teacher)));2
17;this/inv9;(((Person <: Teaches) . (~ (Person <: Teaches))) in iden);17;(((Teacher <: (Person <: Teaches)) . (~ (Teacher <: (Person <: Teaches)))) in iden);4
18;this/inv5;(some (Person <: Teaches));15;(some (Teacher <: (Person <: Teaches)));2
19;this/inv11;(all ref0:(one Class)|((some ref1:(one Teacher)|(ref0 in (ref1 . (Person <: Teaches)))) <=> (some (ref0 . (Class <: Groups)))));12;(no ((Class - (Teacher . (Person <: Teaches))) . (Class <: Groups)));14
20;this/inv10;(((Class <: Groups) . Group) = (Class -> Student));11;(all ref0:(one Class)|((((ref0 . (Class <: Groups)) . Group) & Student) = Student));7
21;this/inv14;(all ref0:(one Class),ref1:(one Person)|((some (ref1 . (ref0 . (Class <: Groups)))) => (((Person <: Teaches) . ref0) in ((Person <: Tutors) . ref1))));11;(all ref0:(one Class),ref1:(one Student)|((some (ref1 . (ref0 . (Class <: Groups)))) => ((((Person <: Teaches) . ref0) & Teacher) in ((Person <: Tutors) . ref1))));6
22;this/inv6;(((Person <: Teaches) . Class) = Teacher);10;((((Person <: Teaches) . Class) & Teacher) = Teacher);2
23;this/inv5;(some ((Person <: Teaches) . Class));9;(some (((Person <: Teaches) . Class) & Teacher));2
24;this/inv6;(some (Teacher . (Person <: Teaches)));9;(all ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));3
25;this/inv11;(all ref0:(one Class)|(((# (ref0 . (Class <: Groups))) > 0) => ((# (((Person <: Teaches) . ref0) & Teacher)) > 0)));9;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some (((Person <: Teaches) . ref0) & Teacher))));10
26;this/inv7;(all ref0:(one Class)|(((Person <: Teaches) . ref0) in Teacher));9;(all ref0:(one Class)|(some ref1:(one Teacher)|(ref1 in ((Person <: Teaches) . ref0))));5
27;this/inv9;(all ref0:(one Class)|(one ((Person <: Teaches) . ref0)));9;(all ref0:(one Class)|(lone (((Person <: Teaches) . ref0) & Teacher)));6
28;this/inv4;(all ref0:(one Person)|((ref0 !in Student) && (ref0 !in Teacher)));8;(no ref0:(one Person)|((ref0 !in Student) && (ref0 !in Teacher)));2
29;this/inv11;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some ((Person <: Teaches) . ref0))));8;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some (Teacher <: ((Person <: Teaches) . ref0)))));4
