;predicate;formula;frequency;closest_solution;solution_distance
0;this/undirected;;144;(graph/undirected[(Node <: adj)]);2
1;this/oriented;;109;(no ((Node <: adj) & (~ (Node <: adj))));6
2;this/weaklyConnected;;98;(graph/weaklyConnected[(Node <: adj)]);2
3;this/acyclic;;95;(graph/dag[(Node <: adj)]);2
4;this/complete;;93;((Node <: adj) = (Node -> Node));6
5;this/noLoops;;90;(graph/noSelfLoops[(Node <: adj)]);2
6;this/stonglyConnected;;75;(graph/stronglyConnected[(Node <: adj)]);2
7;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 . (^ (Node <: adj)))));18;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));7
8;this/stonglyConnected;(all ref0:(one Node)|(Node in (ref0 . (^ (Node <: adj)))));17;(all ref0:(one Node)|(Node in (ref0 . ((^ (Node <: adj)) + iden))));4
9;this/noLoops;(all ref0:(one Node)|(ref0 !in (ref0 . (^ (Node <: adj)))));15;(all ref0:(one Node)|(ref0 !in (ref0 . (Node <: adj))));3
10;this/undirected;(all ref0:(one Node)|(ref0 in ((ref0 . (Node <: adj)) . (~ (Node <: adj)))));14;((Node <: adj) in (~ (Node <: adj)));5
11;this/stonglyConnected;(Node in (Node . (^ (Node <: adj))));12;((Node -> Node) in (* (Node <: adj)));4
12;this/noLoops;(no ((^ (Node <: adj)) & iden));12;(no ((Node <: adj) & iden));1
13;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))));12;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));4
14;this/undirected;(((Node <: adj) . (~ (Node <: adj))) in iden);12;((Node <: adj) in (~ (Node <: adj)));2
15;this/complete;(all ref0:(one Node)|(Node in (ref0 . (^ (Node <: adj)))));11;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));3
16;this/stonglyConnected;(all ref0:(one Node)|((ref0 . (^ (Node <: adj))) = Node));10;(all ref0:(one Node)|((ref0 . (* (Node <: adj))) = Node));4
17;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 . (* (Node <: adj)))));10;(all ref0:(one Node)|(Node in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));5
18;this/weaklyConnected;(all ref0:(one Node)|(Node in (((* (Node <: adj)) . ref0) + (ref0 . (* (Node <: adj))))));10;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (* ((Node <: adj) + (~ (Node <: adj))))))));8
