;predicate;formula;frequency;closest_solution;solution_distance
0;this/inv1;;709;((User <: posts) in (User one-> Photo));6
1;this/inv2;;620;(no ((User <: follows) & iden));5
2;this/inv3;;559;(all ref0:(one User),ref1:(one ((ref0 . (User <: sees)) - Ad))|(one ref2:(one (ref0 . (User <: follows)))|(ref1 in (ref2 . (User <: posts)))));9
3;this/inv5;;477;(all ref0:(one User),ref1:(one (Influencer - ref0))|(ref0 in ((User <: follows) . ref1)));8
4;this/inv4;;467;(all ref0:(one Ad),ref1:(one (((User <: posts) . ref0) . (User <: posts)))|(ref1 in Ad));6
5;this/inv6;;384;(all ref0:(one Day),ref1:(one Influencer)|(some ref2:(one ((ref1 . (User <: posts)) . (Photo <: date)))|(ref0 = ref2)));7
6;this/inv7;;381;(((((User <: follows) . (User <: follows)) - (User <: follows)) - iden) = (User <: suggested));10
7;this/inv8;;330;(all ref0:(one User),ref1:(one ((ref0 . (User <: sees)) & Ad))|(some ref2:(one ((ref0 . (User <: follows)) + (ref0 . (User <: suggested))))|(ref1 in (ref2 . (User <: posts)))));9
8;this/inv5;(all ref0:(one Influencer),ref1:(one User)|(ref0 in (ref1 . (User <: follows))));261;(all ref0:(one Influencer),ref1:(one (User - ref0))|(ref0 in (ref1 . (User <: follows))));4
9;this/inv1;(all ref0:(one Photo)|(some ref1:(one User)|((ref1 -> ref0) in (User <: posts))));87;(all ref0:(one Photo)|(one ref1:(one User)|((ref1 -> ref0) in (User <: posts))));4
10;this/inv5;(all ref0:(one Influencer),ref1:(one User)|(ref1 in ((User <: follows) . ref0)));84;(all ref0:(one Influencer),ref1:(one (User - ref0))|(ref1 in ((User <: follows) . ref0)));4
11;this/inv7;(all ref0:(one User)|(((ref0 . (User <: suggested)) !in (ref0 . (User <: follows))) && ((ref0 . (User <: suggested)) in ((ref0 . (User <: follows)) . (User <: follows)))));81;(all ref0:(one User),ref1:(one User)|(((ref1 !in (ref0 + (ref0 . (User <: follows)))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref1 in (ref0 . (User <: suggested)))));17
12;this/inv5;(all ref0:(one Influencer),ref1:(one User)|((ref1 -> ref0) in (User <: follows)));62;(all ref0:(one Influencer),ref1:(one (User - ref0))|((ref1 -> ref0) in (User <: follows)));4
13;this/inv7;(all ref0:(one User),ref1:(one User)|((! disj[ref0,ref1]) || (((ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) => (ref0 in (ref1 . (User <: suggested))))));60;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) <=> (ref0 in (ref1 . (User <: suggested)))));12
14;this/inv1;(all ref0:(one Photo)|(ref0 in (User . (User <: posts))));54;(all ref0:(one Photo)|(one ref1:(one User)|(ref0 in (ref1 . (User <: posts)))));5
15;this/inv4;(all ref0:(one User)|(some ref1:(one Ad)|((ref1 in (ref0 . (User <: posts))) => ((ref0 . (User <: posts)) in Ad))));52;(all ref0:(one User)|((some ref1:(one Ad)|(ref1 in (ref0 . (User <: posts)))) => ((ref0 . (User <: posts)) in Ad)));4
16;this/inv7;(all ref0:(one User),ref1:(one User)|((ref1 in (ref0 . (User <: suggested))) => ((ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows))))));52;(all ref0:(one User)|((ref0 . (User <: suggested)) = {ref1:(one ((ref0 . (User <: follows)) . (User <: follows)))|((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))))}));18
