;predicate;formula;frequency;closest_solution;solution_distance
0;this/inv1;;202;(some (Entry -> Exit));5
1;this/inv3;;194;(Exit = (Track - ((Track <: succs) . Track)));8
2;this/inv2;;191;((Track <: signals) in (Track one-> Signal));6
3;this/inv4;;160;(Entry = {ref0:(one Track)|(no ((Track <: succs) . ref0))});8
4;this/inv5;;145;(Junction = {ref0:(one Track)|(! (lone ((Track <: succs) . ref0)))});9
5;this/inv6;;138;(Entry in ((Track <: signals) . Speed));6
6;this/inv9;;128;(((Track <: signals) . Semaphore) in ((Track <: succs) . Junction));8
7;this/inv7;;125;(no ((^ (Track <: succs)) & iden));6
8;this/inv3;(all ref0:(one Exit)|(no (ref0 . (Track <: succs))));125;(all ref0:(one Track)|((no (ref0 . (Track <: succs))) <=> (ref0 in Exit)));6
9;this/inv8;;124;((Entry -> Exit) in (* (Track <: succs)));7
10;this/inv10;;110;(((Track <: signals) . Semaphore) = ((Track <: succs) . Junction));8
11;this/inv3;(all ref0:(one Track)|((no (ref0 . (Track <: succs))) => (ref0 in Exit)));89;(all ref0:(one Track)|((no (ref0 . (Track <: succs))) <=> (ref0 in Exit)));4
12;this/inv3;(all ref0:(one Track)|((ref0 in Exit) => (no (ref0 . (Track <: succs)))));84;(all ref0:(one Track)|((ref0 !in Exit) <=> (some (ref0 . (Track <: succs)))));8
13;this/inv3;(no (Exit . (Track <: succs)));81;((all ref0:(one (Track - Exit))|(some (ref0 . (Track <: succs)))) && (no (Exit . (Track <: succs))));6
14;this/inv8;(all ref0:(one Entry),ref1:(one Exit)|(ref1 in (ref0 . (^ (Track <: succs)))));73;(all ref0:(one Entry),ref1:(one (Exit - ref0))|(ref1 in (ref0 . (^ (Track <: succs)))));4
15;this/inv8;(all ref0:(one Entry)|(Exit in (ref0 . (^ (Track <: succs)))));42;(all ref0:(one Entry)|(Exit in (ref0 . (* (Track <: succs)))));4
16;this/inv9;(all ref0:(one Junction),ref1:(one Semaphore),ref2:(one Track)|((ref0 !in (ref2 . (Track <: succs))) => (ref1 !in (ref2 . (Track <: signals)))));34;(all ref0:(one Track)|((ref0 !in ((Track <: succs) . Junction)) => (ref0 !in ((Track <: signals) . Semaphore))));10
17;this/inv3;(all ref0:(one Track)|((ref0 in Exit) => (no (ref0 . (^ (Track <: succs))))));27;(all ref0:(one Track)|((ref0 !in Exit) <=> (some (ref0 . (^ (Track <: succs))))));8
18;this/inv1;((one Entry) && (one Exit));25;((some Entry) && (some Exit));4
19;this/inv5;(all ref0:(one Track)|((ref0 in Junction) <=> (some ((Track <: succs) . ref0))));21;(Junction = {ref0:(one Track)|(! (lone ((Track <: succs) . ref0)))});9
20;this/inv9;(all ref0:(one Semaphore),ref1:(one Track),ref2:(one Track)|((! disj[ref1,ref2]) || (((ref2 !in (ref1 . (Track <: succs))) && (ref2 in Junction)) => (ref0 !in (ref1 . (Track <: signals))))));20;(all ref0:(one Semaphore),ref1:(one Track)|((no ((ref1 . (Track <: succs)) & Junction)) => (ref0 !in (ref1 . (Track <: signals)))));17
21;this/inv3;(all ref0:(one Exit)|((# (ref0 . (Track <: succs))) = 0));20;(all ref0:(one Track)|(((# (ref0 . (Track <: succs))) = 0) <=> (ref0 in Exit)));6
22;this/inv3;(all ref0:(one Track)|(((# (ref0 . (Track <: succs))) = 0) => (ref0 in Exit)));19;(all ref0:(one Track)|(((# (ref0 . (Track <: succs))) = 0) <=> (ref0 in Exit)));4
23;this/inv2;(all ref0:(one Signal)|(ref0 in (Track . (Track <: signals))));16;(all ref0:(one Signal)|(one ref1:(one Track)|(ref0 in (ref1 . (Track <: signals)))));5
24;this/inv8;(all ref0:(one Track),ref1:(one Track)|(((ref0 in Entry) && (ref1 in Exit)) => (ref1 in (ref0 . (^ (Track <: succs))))));16;(all ref0:(one Track),ref1:(one (Track - ref0))|(((ref0 in Entry) && (ref1 in Exit)) => (ref1 in (ref0 . (^ (Track <: succs))))));4
25;this/inv1;((one Exit) && (some Entry));15;((some Entry) && (some Exit));4
