;predicate;formula;frequency;closest_solution;solution_distance
0;this/inv1;;234;(no Trash);3
1;this/inv2;;123;(File in Trash);4
2;this/inv4;;117;(no ref0:(one Protected)|(ref0 in Trash));5
3;this/inv3;;114;(some Trash);3
4;this/inv7;;113;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));5
5;this/inv5;;111;(all ref0:(one (File - Protected))|(ref0 in Trash));5
6;this/inv6;;107;((File <: link) in (File ->lone File));6
7;this/inv8;;103;(no (File <: link));3
8;this/inv9;;97;(no ((File <: link) . (File <: link)));5
9;this/inv7;(all ref0:(one File)|((ref0 . (File <: link)) !in Trash));40;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
10;this/inv5;((File - Protected) = Trash);37;((File - (Protected - Trash)) = Trash);2
11;this/inv6;(lone (File . (File <: link)));31;(all ref0:(one File)|(lone (ref0 . (File <: link))));3
12;this/inv4;(Protected !in Trash);28;(no (Protected & Trash));3
13;this/inv7;(no (Trash . (File <: link)));22;(no ((File <: link) . Trash));2
14;this/inv7;(all ref0:(one Trash)|(no (ref0 . (File <: link))));16;(no ((File <: link) . Trash));3
15;this/inv6;(((File <: link) . (~ (File <: link))) in iden);14;(((~ (File <: link)) . (File <: link)) in iden);2
16;this/inv5;(no (Protected & Trash));14;(no ((File - Protected) - Trash));4
17;this/inv2;(no File);13;(no (File - Trash));2
18;this/inv7;(all ref0:(one File)|((some (ref0 . (File <: link))) => (ref0 !in Trash)));13;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));4
19;this/inv6;(all ref0:(one File)|(lone ref1:(one File)|((ref0 . (File <: link)) = ref1)));11;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
20;this/inv6;(lone (File <: link));9;(all ref0:(one File)|(lone (ref0 . (File <: link))));3
21;this/inv6;(all ref0:(one File)|(one (ref0 . (File <: link))));8;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
22;this/inv7;(no (((File <: link) . File) & Trash));7;(no ((File <: link) & (File -> Trash)));2
23;this/inv4;(! (Protected in Trash));7;(! (some ref0:(one Protected)|(ref0 in Trash)));3
24;this/inv7;((File . (File <: link)) !in Trash);6;(no ((File . (File <: link)) & Trash));3
25;this/inv7;(((File <: link) . File) !in Trash);6;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));5
26;this/inv1;(some Trash);6;(no Trash);2
27;this/inv9;(((File <: link) . (File <: link)) in iden);6;(no ((File <: link) . (File <: link)));3
28;this/inv1;(no (Trash . (File <: link)));5;(no Trash);2
29;this/inv5;(all ref0:(one File)|((ref0 !in Protected) && (ref0 in Trash)));5;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));4
30;this/inv6;(all ref0:(one File)|(lone ((File <: link) . ref0)));5;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
31;this/inv7;(no ref0:(one File)|((ref0 . (File <: link)) in Trash));5;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));4
32;this/inv5;((no (Protected & Trash)) && ((File - Protected) = Trash));5;((File - (Protected - Trash)) = Trash);7
33;this/inv6;(lone ((File <: link) - iden));5;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
34;this/inv3;(File in Trash);5;(some Trash);3
35;this/inv5;(! (Protected in Trash));5;((File - Protected) in Trash);3
36;this/inv7;(all ref0:(one File)|((some (ref0 . (File <: link))) => ((ref0 . (File <: link)) !in Trash)));5;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));6
37;this/inv5;(File = (Trash - Protected));5;((File - (Protected - Trash)) = Trash);4
38;this/inv6;(one (File . (File <: link)));4;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
39;this/inv5;(no (Protected -> Trash));4;(no ((File - Protected) - Trash));4
40;this/inv7;(all ref0:(one File)|(((File <: link) . ref0) !in Trash));4;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
41;this/inv9;(all ref0:(one File),ref1:(one File)|((ref0 . (File <: link)) != (ref1 . (File <: link))));4;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));8
42;this/inv7;(all ref0:(one File)|(no ((File <: link) . ref0)));4;(all ref0:(one Trash)|(no ((File <: link) . ref0)));2
43;this/inv2;(no (File & Trash));4;(no (File - Trash));2
44;this/inv7;(all ref0:(one Trash)|(none = (ref0 . (File <: link))));4;(((File <: link) . Trash) = none);5
45;this/inv9;(((File <: link) . (File <: link)) !in (File <: link));4;(no ((File <: link) . (File <: link)));3
46;this/inv6;(all ref0:(one File)|(some (ref0 . (File <: link))));4;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
47;this/inv6;(lone ((File <: link) . File));4;(all ref0:(one File)|(lone (ref0 . (File <: link))));3
48;this/inv7;(all ref0:(one File)|((ref0 in Trash) => (none = (ref0 . (File <: link)))));4;(all ref0:(one File)|((ref0 in Trash) => (no ((File <: link) . ref0))));7
49;this/inv4;(all ref0:(one File)|(ref0 = (Protected - Trash)));4;(Protected = (Protected - Trash));3
50;this/inv5;(no (Trash - Protected));4;(no ((File - Protected) - Trash));4
51;this/inv3;(some ref0:(one File)|(ref0 = Trash));4;(some Trash);4
52;this/inv5;(all ref0:(one Protected)|(no (ref0 & Trash)));4;(all ref0:(one (File - Protected))|(ref0 in Trash));5
53;this/inv5;(Protected in Trash);3;((File - Protected) in Trash);2
54;this/inv7;(! (some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref0 in Trash))));3;(! (some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 in Trash))));6
55;this/inv2;(no Protected);3;(no (File - Trash));4
56;this/inv5;((File !in Protected) => (File in Trash));3;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));5
57;this/inv1;(all ref0:(one File)|(ref0 in Trash));3;(no ref0:(one File)|(ref0 in Trash));2
58;this/inv4;(no (Protected + Trash));3;(no (Protected & Trash));2
59;this/inv7;(all ref0:(one File)|((ref0 . (File <: link)) in Trash));3;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));4
60;this/inv7;((File . (File <: link)) in Protected);3;(Trash in (Trash - (File . (File <: link))));4
61;this/inv9;(all ref0:(one File)|(one ((File <: link) . ref0)));3;(no ((File <: link) . (File <: link)));5
