_id;NONE;SPEC;MUT;SPEC & MUT;TAR;TAR & SPEC;TAR & MUT;TAR & SPEC & MUT;policy_count;parsing_count;policy_time;parsing_time;count;TAR_TIME;TAR_DEV;MUT_TIME;MUT_DEV
ProductionLine_v2_v3;478;71;102;116;76;11;35;122;7542;8118;61.361245200000006;439.39271633;1011;38.46758317972622;24.38348445403927;0.7382015058094747;0.4118699582153108
LTS;203;36;60;48;15;0;11;11;846;963;6.2581123000000005;249.63388812000002;384;8.66630744676721;19.44940025102286;0.25739622295854625;0.1231535377263399
ClassroomRL;276;66;62;80;54;13;37;50;2229;2503;19.8594686;270.16675225384614;638;37.70056786949746;24.08205018434563;0.32903362022157806;0.14892589538491946
Graphs;67;14;27;61;44;1;61;70;1150;1276;8.2490155;277.6015939;345;19.69586242508667;21.09384323290795;0.24811981874794445;0.12907930276133175
Train;422;97;164;278;83;4;59;203;4046;4466;25.8526999;369.30495226000005;1310;37.93117907242926;26.34037749442428;0.7579734731673536;0.41301743804326757
TrashRL;24;31;8;15;49;7;70;115;1512;1559;7.8080214;350.40809790000003;319;0.8758063248104339;2.3343258346303712;0.235211020726987;0.12647613769079885
TrashLTL;37;8;26;42;212;17;193;356;2509;2711;18.5972167;348.8711317666667;891;8.057937215270114;17.643295303370554;0.3977394182446089;0.1424896267084352
CV;132;28;2;6;41;0;3;5;260;595;1.8194392000000001;23.09319135;217;48.8606258726041;16.069238591429468;0.7160018769507394;0.3958503873591096
SocialNetwork;884;241;352;655;95;16;83;308;9630;10409;50.3708274;519.5304685625;2634;44.618393948237056;23.35755067779818;0.6422412836254356;0.31732752192242664
ClassroomFOL;286;41;77;156;21;15;39;64;2462;2685;15.289404900000001;272.981974723077;699;25.282327734220488;23.13758350312408;0.42494633313396135;0.1912446487125378
ProductionLine_v1;1;19;0;3;38;0;20;29;366;413;2.4391675;72.6987924;110;0.06601190865469209;0.1257674050207424;0.33922674917815254;0.13998569500507563
TrashFOL;9;31;3;3;22;12;15;86;1384;1408;4.800696;305.6198435875;181;0.43957673735861114;1.0119973022423947;0.3366560051821798;0.16918951048913872
Courses;986;205;332;404;195;34;169;214;19100;20357;135.467241;857.46577816;2539;36.69123683260179;25.324486291125936;0.7144412536998496;0.3771954684725794
